iter	RMSE_SumError	RMSE_SumWeight
0	3822340.471	7203
1	3783728.415	7203
2	3745882.321	7203
3	3709503.664	7203
4	3672550.514	7203
5	3637180.437	7203
6	3602403.465	7203
7	3568337.157	7203
8	3534351.995	7203
9	3503073.139	7203
10	3470539.079	7203
11	3439328.785	7203
12	3409196.131	7203
13	3377876.761	7203
14	3347653.415	7203
15	3319059.948	7203
16	3290175.185	7203
17	3261755.91	7203
18	3233687.664	7203
19	3206686.467	7203
20	3180190.111	7203
21	3152824.997	7203
22	3126950.335	7203
23	3101773.657	7203
24	3075664.839	7203
25	3050838.97	7203
26	3027192.245	7203
27	3003289.051	7203
28	2979839.955	7203
29	2956270.049	7203
30	2933382.669	7203
31	2911172.443	7203
32	2889181.532	7203
33	2867125.387	7203
34	2845765.215	7203
35	2824441.881	7203
36	2804542.895	7203
37	2784307.206	7203
38	2765227.311	7203
39	2745767.584	7203
40	2726497.276	7203
41	2708119.877	7203
42	2689687.343	7203
43	2671788.917	7203
44	2654138.305	7203
45	2636643.375	7203
46	2619176.907	7203
47	2602087.113	7203
48	2585949.094	7203
49	2569861.995	7203
50	2553861.115	7203
51	2538528.732	7203
52	2523919.266	7203
53	2508691.109	7203
54	2494026.734	7203
55	2480500.256	7203
56	2465458.197	7203
57	2451647.119	7203
58	2438853.762	7203
59	2425068.439	7203
60	2412243.166	7203
61	2399186.609	7203
62	2385883.748	7203
63	2372578.369	7203
64	2360516.438	7203
65	2348208.596	7203
66	2336831.326	7203
67	2324825.175	7203
68	2312635.327	7203
69	2301208.852	7203
70	2289823.351	7203
71	2279453.077	7203
72	2268763.682	7203
73	2257898.777	7203
74	2248000.105	7203
75	2236925.98	7203
76	2227280.801	7203
77	2218403.084	7203
78	2208287.851	7203
79	2198831.139	7203
80	2189475.303	7203
81	2180074.41	7203
82	2171377.95	7203
83	2162520.159	7203
84	2153893.198	7203
85	2145081.799	7203
86	2136783.603	7203
87	2127972.691	7203
88	2119352.863	7203
89	2111328.491	7203
90	2103467.918	7203
91	2096450.541	7203
92	2088219.184	7203
93	2080971.483	7203
94	2073022.259	7203
95	2065455.369	7203
96	2057933.612	7203
97	2051003.336	7203
98	2043986.347	7203
99	2036892.658	7203
100	2029738.163	7203
101	2023045.505	7203
102	2015864.344	7203
103	2009119.992	7203
104	2002667.563	7203
105	1996580.923	7203
106	1989848.755	7203
107	1983874.208	7203
108	1978080.959	7203
109	1972556.5	7203
110	1966829.824	7203
111	1961217.502	7203
112	1956025.929	7203
113	1950925.355	7203
114	1945280.465	7203
115	1940464.967	7203
116	1934677.029	7203
117	1929131.322	7203
118	1924120.229	7203
119	1919224.21	7203
120	1914440.072	7203
121	1908968.122	7203
122	1904291.079	7203
123	1899309.312	7203
124	1895076.918	7203
125	1890504.38	7203
126	1886603.517	7203
127	1882385.495	7203
128	1877970.8	7203
129	1873608.58	7203
130	1869461.432	7203
131	1865241.762	7203
132	1861379.349	7203
133	1857013.474	7203
134	1853124.363	7203
135	1849587.927	7203
136	1845885.271	7203
137	1841515.553	7203
138	1837963.638	7203
139	1834199.339	7203
140	1830422.464	7203
141	1826810.164	7203
142	1822522.185	7203
143	1819030.541	7203
144	1815541.062	7203
145	1812079.305	7203
146	1808031.376	7203
147	1804894.681	7203
148	1802095.308	7203
149	1799033.581	7203
150	1796147.457	7203
151	1793091.117	7203
152	1790128.747	7203
153	1787169.384	7203
154	1784208.418	7203
155	1781447.819	7203
156	1778531.09	7203
157	1775829.251	7203
158	1773207.407	7203
159	1770375.573	7203
160	1767763.917	7203
161	1764986.36	7203
162	1761810.664	7203
163	1759187.477	7203
164	1756243.878	7203
165	1753993.839	7203
166	1751702.017	7203
167	1749138.077	7203
168	1746651.631	7203
169	1744076.101	7203
170	1741568.329	7203
171	1739156.853	7203
172	1737135.545	7203
173	1735005.353	7203
174	1732784.463	7203
175	1730318.034	7203
176	1728221.232	7203
177	1725977.521	7203
178	1723785.994	7203
179	1721669.083	7203
180	1719543.184	7203
181	1717563.727	7203
182	1715886.595	7203
183	1713958.48	7203
184	1712108.499	7203
185	1710021.886	7203
186	1707744.293	7203
187	1706036.015	7203
188	1704199.803	7203
189	1702321.055	7203
190	1700020.147	7203
191	1697463.077	7203
192	1695827.727	7203
193	1694123.948	7203
194	1692286.522	7203
195	1690103.568	7203
196	1688502.275	7203
197	1686698.926	7203
198	1684891.556	7203
199	1683083.201	7203
200	1681602.585	7203
201	1680033.708	7203
202	1678314.992	7203
203	1676771.859	7203
204	1675341.184	7203
205	1673188.423	7203
206	1671930.784	7203
207	1670481.778	7203
208	1669094.091	7203
209	1667506.54	7203
210	1665992.593	7203
211	1664088.077	7203
212	1662732.146	7203
213	1661189.85	7203
214	1659829.461	7203
215	1658519.074	7203
216	1657130.435	7203
217	1655622.612	7203
218	1654165.362	7203
219	1652779.199	7203
220	1651357.565	7203
221	1650185.275	7203
222	1648803.891	7203
223	1646834.729	7203
224	1645577.221	7203
225	1644320.594	7203
226	1643063.049	7203
227	1641876.392	7203
228	1640606.059	7203
229	1639384.726	7203
230	1638051.167	7203
231	1636846.509	7203
232	1635252.313	7203
233	1634056.894	7203
234	1633037.896	7203
235	1631762.517	7203
236	1630562.185	7203
237	1629416.712	7203
238	1628239.108	7203
239	1626925.517	7203
240	1625944.834	7203
241	1624526.739	7203
242	1623040.307	7203
243	1621609.164	7203
244	1620683.684	7203
245	1619726.556	7203
246	1618834.23	7203
247	1617841.053	7203
248	1616931.82	7203
249	1615881.701	7203
250	1614367.567	7203
251	1613313.046	7203
252	1612412.146	7203
253	1611100.311	7203
254	1610034.459	7203
255	1609036.774	7203
256	1607617.298	7203
257	1606831.239	7203
258	1606066.239	7203
259	1605085.242	7203
260	1604302.051	7203
261	1603549.346	7203
262	1602639.696	7203
263	1601634.572	7203
264	1600869.182	7203
265	1599538.724	7203
266	1598551.192	7203
267	1597871.722	7203
268	1596753.264	7203
269	1596082.601	7203
270	1595209.501	7203
271	1594379.542	7203
272	1593441.93	7203
273	1592699.919	7203
274	1591550.612	7203
275	1590884.285	7203
276	1590287.193	7203
277	1589462.366	7203
278	1588726.73	7203
279	1588011.999	7203
280	1587139.722	7203
281	1586444.155	7203
282	1585452.934	7203
283	1584612.496	7203
284	1583672.921	7203
285	1582670.729	7203
286	1581828.97	7203
287	1581071.181	7203
288	1580598.406	7203
289	1580055.401	7203
290	1579240.809	7203
291	1578354.756	7203
292	1577720.801	7203
293	1576928.865	7203
294	1575864.785	7203
295	1575187.264	7203
296	1574299.41	7203
297	1573495.918	7203
298	1572954.949	7203
299	1572137.137	7203
300	1571448.997	7203
301	1570338.236	7203
302	1569759.893	7203
303	1568750.548	7203
304	1568101.606	7203
305	1567531.087	7203
306	1566692.596	7203
307	1565900.171	7203
308	1565202.582	7203
309	1564654.561	7203
310	1563832.001	7203
311	1563311.561	7203
312	1562933.732	7203
313	1562391.42	7203
314	1561789.859	7203
315	1561320.481	7203
316	1560650.126	7203
317	1560155.944	7203
318	1559549.639	7203
319	1558922.108	7203
320	1558573.239	7203
321	1557986.163	7203
