iter	Passed	Remaining
0	244	7335232
1	304	4566683
2	474	4744462
3	644	4835664
4	837	5024619
5	1096	5479345
6	1270	5442694
7	1371	5139938
8	1621	5404658
9	1762	5284482
10	2012	5485268
11	2168	5418215
12	2298	5302325
13	2430	5205937
14	2609	5217332
15	2738	5131835
16	2824	4981771
17	2914	4854519
18	3014	4756149
19	3110	4662474
20	3332	4757271
21	3577	4874939
22	3849	5017320
23	3996	4991047
24	4125	4946562
25	4195	4837270
26	4249	4717795
27	4314	4618345
28	4419	4567346
29	4518	4513612
30	4577	4424806
31	4640	4345901
32	4732	4297426
33	4813	4242690
34	4895	4190880
35	4958	4127438
36	5015	4061535
37	5069	3997266
38	5135	3945094
39	5221	3910634
40	5310	3880465
41	5372	3832428
42	5423	3778365
43	5474	3727333
44	5534	3684148
45	5597	3644889
46	5667	3612050
47	5747	3586685
48	5848	3574812
49	5931	3553173
50	6059	3558096
51	6108	3518294
52	6198	3502637
53	6272	3478324
54	6321	3441716
55	6375	3408840
56	6441	3383928
57	6502	3356771
58	6648	3373817
59	6781	3383792
60	6922	3397640
61	7007	3383928
62	7142	3394046
63	7232	3383234
64	7338	3379640
65	7488	3396167
66	7583	3388090
67	7681	3381193
68	7761	3366655
69	7818	3342773
70	7938	3346415
71	8058	3349448
72	8180	3353510
73	8287	3351617
74	8417	3358532
75	8536	3361261
76	8657	3364251
77	8734	3350503
78	8830	3344456
79	8939	3343259
80	9045	3341193
81	9157	3341318
82	9284	3346403
83	9412	3352362
84	9523	3351779
85	9624	3347598
86	9742	3349623
87	9795	3329499
88	9833	3304754
89	9872	3280977
90	9920	3260452
91	9960	3238178
92	10006	3217874
93	10046	3196403
94	10085	3174926
95	10119	3152244
96	10157	3131442
97	10192	3109838
98	10235	3091325
99	10278	3073400
100	10359	3066654
101	10413	3052326
102	10457	3035414
103	10507	3020500
104	10549	3003694
105	10589	2986402
106	10655	2976867
107	10729	2969728
108	10776	2955142
109	10824	2941239
110	10863	2925330
111	10910	2911498
112	10952	2896899
113	10986	2880322
114	11031	2866632
115	11066	2850924
116	11106	2836589
117	11147	2822986
118	11192	2810406
119	11236	2797798
120	11288	2787496
121	11338	2776754
122	11384	2765362
123	11432	2754525
124	11486	2745181
125	11552	2739002
126	11611	2731292
127	11659	2720922
128	11698	2708992
129	11751	2700045
130	11789	2688033
131	11837	2678457
132	11892	2670539
133	11938	2660802
134	11980	2650310
135	12039	2643761
136	12090	2635558
137	12131	2625246
138	12174	2615420
139	12227	2607869
140	12263	2596953
141	12299	2586275
142	12342	2576963
143	12385	2567843
144	12424	2558210
145	12460	2547994
146	12505	2539664
147	12554	2532306
148	12590	2522370
149	12631	2513582
150	12680	2506526
151	12723	2498571
152	12781	2493412
153	12822	2484975
154	12870	2478287
155	12919	2471547
156	12956	2462835
157	12997	2454929
158	13032	2445993
159	13074	2438308
160	13113	2430416
161	13153	2422658
162	13188	2414163
163	13233	2407613
164	13280	2401329
165	13316	2393252
166	13358	2386393
167	13409	2381210
168	13450	2374162
169	13484	2366055
170	13523	2359064
171	13559	2351454
172	13597	2344329
173	13636	2337549
174	13677	2331056
175	13718	2324693
176	13758	2318203
177	13803	2312649
178	13848	2307152
179	13886	2300449
180	13924	2294052
181	13959	2287124
182	13992	2279789
183	14028	2273302
184	14067	2267223
185	14118	2263107
186	14160	2257634
187	14202	2252213
188	14242	2246461
189	14276	2239856
190	14316	2234383
191	14357	2228980
192	14424	2227767
193	14473	2223728
194	14521	2219513
195	14567	2215156
196	14620	2211807
197	14659	2206542
198	14698	2201189
199	14735	2195591
200	14771	2189887
201	14816	2185617
202	14864	2181848
203	14898	2176088
204	14936	2170854
205	14971	2165356
206	15096	2172817
207	15158	2171112
208	15215	2168847
209	15257	2164429
210	15299	2160030
211	15336	2154867
212	15384	2151470
213	15424	2146906
214	15468	2142946
215	15504	2137902
216	15549	2134157
217	15593	2130294
218	15638	2126659
219	15674	2121824
220	15712	2117187
221	15750	2112694
222	15800	2109765
223	15848	2106656
224	15890	2102873
225	15929	2098621
226	15979	2095872
227	16015	2091330
228	16053	2087076
229	16088	2082404
230	16124	2077948
231	16165	2074173
232	16214	2071444
233	16257	2068057
234	16301	2064765
235	16342	2061074
236	16385	2057770
237	16422	2053640
238	16464	2050199
239	16510	2047292
240	16555	2044354
241	16589	2039997
242	16629	2036440
243	16662	2032040
244	16701	2028383
245	16746	2025525
246	16814	2025394
247	16889	2026249
248	16948	2024983
249	16989	2021718
250	17040	2019652
251	17103	2019054
252	17153	2016917
253	17188	2012976
254	17228	2009712
255	17264	2005881
256	17303	2002503
257	17338	1998717
258	17382	1995986
259	17431	1993894
260	17494	1993417
261	17555	1992601
262	17608	1990965
263	17653	1988433
264	17711	1987353
265	17756	1984810
266	17807	1983069
267	17847	1979957
268	17927	1981473
269	17966	1978272
270	18010	1975772
271	18056	1973519
272	18108	1971822
273	18147	1968835
274	18190	1966213
275	18225	1962803
276	18264	1959849
277	18305	1957078
278	18348	1954567
279	18386	1951543
280	18428	1949049
281	18479	1947452
282	18548	1947723
283	18613	1947598
284	18657	1945241
285	18705	1943402
286	18744	1940648
287	18778	1937268
288	18814	1934236
289	18852	1931362
290	18900	1929588
291	18953	1928284
292	18996	1926025
293	19046	1924508
294	19083	1921642
295	19121	1918888
296	19180	1918229
297	19262	1919922
298	19338	1920947
299	19404	1921094
300	19473	1921427
301	19538	1921366
302	19608	1921851
303	19685	1922991
304	19773	1925147
305	19823	1923699
306	19870	1921897
307	19929	1921284
308	20027	1924358
309	20095	1924651
310	20196	1928024
311	20319	1933477
312	20432	1937971
313	20479	1936190
314	20550	1936665
315	20674	1942072
316	20844	1951863
317	21035	1963475
318	21200	1972559
319	21369	1982003
320	21558	1993234
321	21671	1997411
322	21854	2008004
323	21950	2010493
324	22174	2024690
325	22340	2033553
326	22493	2041161
327	22565	2041353
328	22690	2046331
329	22742	2044740
330	22868	2049813
331	22933	2049356
332	23005	2049575
333	23055	2047806
334	23109	2046441
335	23173	2045872
336	23214	2043338
337	23252	2040572
338	23292	2037949
339	23332	2035388
340	23386	2034046
341	23423	2031273
342	23476	2029868
343	23516	2027360
344	23559	2025113
345	23599	2022560
346	23661	2022031
347	23737	2022639
348	23844	2025834
349	23939	2028002
350	24023	2029294
351	24092	2029262
352	24149	2028246
353	24210	2027546
354	24264	2026288
355	24319	2025084
356	24391	2025344
357	24442	2023810
358	24550	2027045
359	24634	2028219
360	24736	2030903
361	24812	2031449
362	24892	2032318
363	24969	2032980
364	25028	2032129
365	25079	2030641
366	25131	2029246
367	25185	2027980
368	25244	2027137
369	25260	2022864
370	25308	2021204
371	25352	2019188
372	25393	2016982
373	25436	2014942
374	25478	2012791
375	25529	2011373
376	25568	2009021
377	25610	2006986
378	25642	2004100
379	25683	2001929
380	25718	1999351
381	25758	1997133
382	25809	1995797
383	25873	1995474
384	25915	1993500
385	25963	1991922
386	26040	1992600
387	26098	1991848
388	26148	1990425
389	26199	1989133
390	26257	1988353
391	26300	1986476
392	26337	1984170
393	26398	1983654
394	26445	1982098
395	26525	1983001
396	26607	1984004
397	26664	1983219
398	26705	1981237
399	26747	1979294
400	26798	1978051
401	26846	1976600
402	26881	1974200
403	26921	1972230
404	26980	1971541
405	27050	1971738
406	27119	1971851
407	27188	1971949
408	27250	1971538
409	27325	1972078
410	27371	1970556
411	27444	1970943
412	27505	1970450
413	27548	1968732
414	27586	1966646
415	27654	1966635
416	27711	1965914
417	27774	1965616
418	27846	1965965
419	27919	1966333
420	27977	1965668
421	28061	1966834
422	28156	1968740
423	28257	1971097
424	28307	1969847
425	28409	1972282
426	28504	1974159
427	28555	1972977
428	28594	1971024
429	28675	1971974
430	28734	1971324
431	28777	1969680
432	28833	1968902
433	28921	1970240
434	28975	1969332
435	29042	1969319
436	29095	1968307
437	29131	1966184
438	29166	1963999
439	29209	1962324
440	29273	1962112
441	29330	1961434
442	29371	1959676
443	29432	1959251
444	29469	1957255
445	29520	1956133
446	29577	1955486
447	29649	1955822
448	29692	1954202
449	29748	1953506
450	29790	1951839
451	29828	1949936
452	29875	1948625
453	29921	1947293
454	29962	1945578
455	29997	1943536
456	30038	1941854
457	30091	1940962
458	30128	1939054
459	30171	1937534
460	30204	1935389
461	30218	1932025
462	30252	1929973
463	30289	1928058
464	30323	1926005
465	30355	1923859
466	30396	1922287
467	30454	1921730
468	30524	1921976
469	30564	1920368
470	30602	1918584
471	30637	1916637
472	30675	1914914
473	30714	1913270
474	30752	1911538
475	30795	1910077
476	30836	1908592
477	30868	1906490
478	30903	1904592
479	30937	1902662
480	30975	1900968
481	31012	1899239
482	31048	1897405
483	31084	1895651
484	31122	1893989
485	31162	1892421
486	31222	1892117
487	31272	1891240
488	31316	1889932
489	31365	1888996
490	31402	1887303
491	31467	1887272
492	31535	1887464
493	31571	1885736
494	31608	1884057
495	31642	1882195
496	31675	1880345
497	31708	1878440
498	31744	1876759
499	31788	1875536
500	31843	1874934
501	31906	1874845
502	31948	1873502
503	31996	1872540
504	32039	1871271
505	32089	1870422
506	32223	1874494
507	32295	1874921
508	32395	1876959
509	32435	1875549
510	32487	1874802
511	32563	1875448
512	32600	1873840
513	32635	1872131
514	32670	1870484
515	32706	1868815
516	32741	1867132
517	32771	1865207
518	32810	1863750
519	32841	1861872
520	32888	1860866
521	32923	1859235
522	32962	1857828
523	32997	1856174
524	33035	1854710
525	33068	1852994
526	33117	1852116
527	33167	1851369
528	33215	1850476
529	33256	1849200
530	33296	1847846
531	33341	1846823
532	33393	1846144
533	33443	1845382
534	33489	1844415
535	33529	1843143
536	33562	1841447
537	33616	1840933
538	33683	1841111
539	33724	1839871
540	33773	1839083
541	33822	1838258
542	33863	1837059
543	33900	1835602
544	33951	1834941
545	33987	1833463
546	34083	1835190
547	34139	1834832
548	34197	1834501
549	34243	1833602
550	34301	1833298
551	34347	1832361
552	34399	1831758
553	34454	1831305
554	34502	1830491
555	34539	1829082
556	34580	1827941
557	34646	1828077
558	34686	1826839
559	34728	1825743
560	34766	1824390
561	34800	1822890
562	34835	1821395
563	34871	1820014
564	34916	1819044
565	34950	1817533
566	34983	1815995
567	35029	1815095
568	35084	1814702
569	35121	1813367
570	35156	1811939
571	35194	1810662
572	35227	1809154
573	35262	1807740
574	35303	1806629
575	35343	1805442
576	35366	1803470
577	35410	1802497
578	35447	1801207
579	35480	1799703
580	35514	1798291
581	35554	1797176
582	35593	1795958
583	35623	1794339
584	35675	1793849
585	35716	1792751
586	35767	1792202
587	35807	1791118
588	35843	1789798
589	35875	1788298
590	35915	1787195
591	35947	1785703
592	35984	1784462
593	36021	1783270
594	36072	1782721
595	36118	1781943
596	36163	1781101
597	36193	1779541
598	36229	1778285
599	36277	1777608
600	36314	1776394
601	36346	1774935
602	36394	1774255
603	36430	1773047
604	36473	1772117
605	36504	1770672
606	36585	1771588
607	36630	1770796
608	36675	1769984
609	36743	1770299
610	36789	1769587
611	36842	1769164
612	36900	1768993
613	36943	1768137
614	36988	1767306
615	37020	1765943
616	37063	1765070
617	37096	1763684
618	37134	1762600
619	37166	1761194
620	37198	1759851
621	37240	1758920
622	37270	1757459
623	37309	1756413
624	37347	1755328
625	37388	1754392
626	37398	1752025
627	37455	1751838
628	37496	1750869
629	37533	1749775
630	37565	1748454
631	37598	1747127
632	37635	1746038
633	37668	1744773
634	37717	1744197
635	37772	1743960
636	37808	1742821
637	37843	1741617
638	37880	1740561
639	37916	1739408
640	37954	1738372
641	37991	1737292
642	38021	1735898
643	38062	1735040
644	38093	1733709
645	38131	1732692
646	38168	1731612
647	38211	1730854
648	38252	1729978
649	38284	1728671
650	38313	1727265
651	38349	1726214
652	38399	1725763
653	38432	1724513
654	38473	1723693
655	38509	1722574
656	38540	1721320
657	38577	1720263
658	38608	1718997
659	38644	1717924
660	38678	1716765
661	38718	1715877
662	38776	1715818
663	38812	1714784
664	38842	1713442
665	38882	1712588
666	38924	1711782
667	38965	1710969
668	38999	1709865
669	39033	1708730
670	39066	1707553
671	39114	1707050
672	39150	1706060
673	39191	1705248
674	39227	1704218
675	39262	1703163
676	39298	1702124
677	39327	1700823
678	39360	1699673
679	39400	1698861
680	39439	1697975
681	39476	1697033
682	39514	1696126
683	39550	1695099
684	39584	1694048
685	39619	1692994
686	39655	1692008
687	39734	1692871
688	39777	1692206
689	39801	1690695
690	39871	1691142
691	39912	1690401
692	39964	1690114
693	40004	1689305
694	40043	1688464
695	40082	1687621
696	40125	1686954
697	40157	1685796
698	40195	1684932
699	40229	1683878
700	40261	1682780
701	40295	1681736
702	40328	1680664
703	40361	1679587
704	40403	1678888
705	40440	1677985
706	40475	1677025
707	40524	1676595
708	40562	1675767
709	40598	1674833
710	40628	1673669
711	40663	1672684
712	40713	1672336
713	40745	1671232
714	40805	1671295
715	40842	1670450
716	40898	1670346
717	40931	1669315
718	40977	1668785
719	41008	1667682
720	41044	1666775
721	41073	1665595
722	41113	1664853
723	41133	1663312
724	41170	1662453
725	41207	1661580
726	41244	1660714
727	41281	1659894
728	41330	1659521
729	41367	1658659
730	41400	1657664
731	41440	1656934
732	41477	1656095
733	41509	1655065
734	41550	1654375
735	41590	1653676
736	41623	1652678
737	41656	1651716
738	41681	1650399
739	41717	1649518
740	41750	1648568
741	41783	1647568
742	41818	1646696
743	41862	1646155
744	41892	1645068
745	41952	1645154
746	42001	1644814
747	42045	1644271
748	42077	1643287
749	42113	1642412
750	42145	1641416
751	42178	1640479
752	42216	1639699
753	42261	1639221
754	42286	1637974
755	42323	1637189
756	42357	1636273
757	42407	1636001
758	42439	1635009
759	42472	1634066
760	42500	1632963
761	42538	1632199
762	42586	1631852
763	42622	1631023
764	42636	1629378
765	42668	1628403
766	42708	1627783
767	42749	1627170
768	42799	1626870
769	42845	1626452
770	42891	1626033
771	42933	1625462
772	43002	1625902
773	43053	1625697
774	43095	1625116
775	43136	1624529
776	43166	1623483
777	43196	1622496
778	43233	1621719
779	43260	1620601
780	43297	1619844
781	43340	1619320
782	43377	1618585
783	43411	1617731
784	43443	1616808
785	43480	1616096
786	43515	1615280
787	43567	1615103
788	43613	1614696
789	43643	1613720
790	43693	1613456
791	43727	1612619
792	43763	1611849
793	43811	1611533
794	43845	1610699
795	43881	1609933
796	43932	1609737
797	43963	1608815
798	44022	1608871
